type,darshan_date,value,detail,post_id,post_datetime,title,link
day_over_day_jump,2013-10-16,63426,"6,516 on 2013-10-15 -> 63,426 on 2013-10-16",1130,2013-10-17 09:17:16,"Sarva Darshan (Free darshan)-15 compartments/7 hours; Divya Darshan (Footpath darshan)-5 compartments/3 hours, Rs. 300 after 8am.",https://news.tirumala.org/sarva-darshan-free-darshan-15-compartments7-hours-divya-darshan-footpath-darshan-5-compartments3-hours-rs-300-after-8am/
day_over_day_jump,2017-01-19,3574,"70,184 on 2017-01-18 -> 3,574 on 2017-01-19",39739,2017-01-20 07:23:51,"About 67,3574 pilgrims had Srivari Dharshan on Jan 19",https://news.tirumala.org/sarva-dharshan-free-darshan-7-compartments-5-hours-divya-dharshan-footpath-darshan-2-compartments-4-hours-and-special-entry-darshan-rs-300-after-9am/
day_over_day_jump,2017-01-20,63238,"3,574 on 2017-01-19 -> 63,238 on 2017-01-20",39761,2017-01-21 06:43:04,"About 63,238 pilgrims had Srivari Dharshan on Jan 20",https://news.tirumala.org/sarva-dharshan-free-darshan-2-compartments-2-hours-divya-dharshan-footpath-darshan-1-compartments-2-hours-and-special-entry-darshan-rs-300-after-9am/
day_over_day_jump,2017-06-11,7853,"96,173 on 2017-06-10 -> 7,853 on 2017-06-11",45030,2017-06-12 08:10:57,"About 1,07853 pilgrims had Srivari Dharshan on June 11",https://news.tirumala.org/sarva-dharshan-free-darshan-29-compartments-12-hours-divya-dharshan-footpath-darshan-28-compartments-10-hours-special-entry-darshan-rs-300-after-9am/
day_over_day_jump,2017-06-12,90347,"7,853 on 2017-06-11 -> 90,347 on 2017-06-12",45059,2017-06-13 07:03:26,"About 90,347 pilgrims had Srivari Dharshan on June 12",https://news.tirumala.org/sarva-dharshan-free-darshan-7-compartments-5-hours-divya-dharshan-footpath-darshan-7-compartments-4-hours-special-entry-darshan-rs-300-after-9am/
day_over_day_jump,2018-01-31,15576,"62,424 on 2018-01-30 -> 15,576 on 2018-01-31",55134,2018-02-01 06:54:37,"About 15,576 pilgrims had Srivari darshan on Jan 31",https://news.tirumala.org/sarva-darshan-free-darshan-3-compartment-4-hours-special-entry-darshan-rs-300-darshan-after-8am/
day_over_day_jump,2018-02-01,54297,"15,576 on 2018-01-31 -> 54,297 on 2018-02-01",55182,2018-02-02 05:48:49,"About 54,297 pilgrims had Srivari darshan on Feb 1",https://news.tirumala.org/sarva-darshan-free-darshan-4-compartment-5-hours-special-entry-darshan-rs-300-darshan-after-8am/
day_over_day_jump,2020-03-20,5994,"42,084 on 2020-03-19 -> 5,994 on 2020-03-20",95677,2020-03-20 20:55:29,"About 5,994 Pilgrims had Darshan on March 20",https://news.tirumala.org/about-5994-pilgrims-had-darshan-on-march-20/
day_over_day_jump,2022-11-08,22423,"74,094 on 2022-11-07 -> 22,423 on 2022-11-08",198444,2022-11-09 06:29:00,"Total pilgrims who had darshan on 08.11.2022: 22,423",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-08-11-2022-22423/
implausible_post_lag,2019-10-04,54321,post is -1 days after darshan date,74426,2019-10-03 21:41:24,"About 54,321 Pilgrims had Darshan from 3am to 6pm on October 4",https://news.tirumala.org/about-54321-pilgrims-had-darshan-from-3am-to-6pm-on-october-3/
implausible_post_lag,2020-07-07,10983,post is -1 days after darshan date,99596,2020-07-06 22:22:05,"Pilgrims who had darshan on 7-7-20: 10,983",https://news.tirumala.org/pilgrims-who-had-darshan-on-7-7-20-10983/
malformed_number_in_source,2015-02-21,1524,"source digits are mis-grouped, figure unreliable: 1524 pilgrims had Srivari Darshan",14221,2015-02-21 19:15:54,"About 41,1524 pilgrims had Srivari Darshan from 3am to 6pm on Feb 21",https://news.tirumala.org/sarva-darshan-free-darshan-21-compartments-12-hours-divya-darshan-footpath-darshan-8-compartments-6-hours-and-special-entry-darshan-rs-300-closed/
malformed_number_in_source,2015-04-12,5063,"source digits are mis-grouped, figure unreliable: 5063 pilgrims had Srivari Darshan",15643,2015-04-12 18:08:14,"About 45,5063 pilgrims had Srivari Darshan from 3am to 6pm on April 12",https://news.tirumala.org/about-455063-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-april-12/
malformed_number_in_source,2016-03-24,270,"source digits are mis-grouped, figure unreliable: 0270 pilgrims had Srivari Darshan",29006,2016-03-24 18:47:38,"About 46,0270 pilgrims had Srivari Darshan from 3am to 6pm on Mar 24",https://news.tirumala.org/sarva-darshan-free-darshan-26-compartments-6-hours-divya-darshan-footpath-darshan-14-compartments-5-hours-and-special-entry-darshan-rs-300-closed/
malformed_number_in_source,2017-01-19,3574,"source digits are mis-grouped, figure unreliable: 3574 pilgrims had Srivari Dharshan",39739,2017-01-20 07:23:51,"About 67,3574 pilgrims had Srivari Dharshan on Jan 19",https://news.tirumala.org/sarva-dharshan-free-darshan-7-compartments-5-hours-divya-dharshan-footpath-darshan-2-compartments-4-hours-and-special-entry-darshan-rs-300-after-9am/
malformed_number_in_source,2017-06-11,7853,"source digits are mis-grouped, figure unreliable: 07853 pilgrims had Srivari Dharshan",45030,2017-06-12 08:10:57,"About 1,07853 pilgrims had Srivari Dharshan on June 11",https://news.tirumala.org/sarva-dharshan-free-darshan-29-compartments-12-hours-divya-dharshan-footpath-darshan-28-compartments-10-hours-special-entry-darshan-rs-300-after-9am/
malformed_number_in_source,2018-09-02,3543,"source digits are mis-grouped, figure unreliable: 3543 Pilgrims had Darshan",63319,2018-09-02 18:35:33,"About 61,3543 Pilgrims had Darshan from 3am to 6pm on Sep 2",https://news.tirumala.org/about-613543-pilgrims-had-darshan-from-3am-to-6pm-on-sep-2/
malformed_number_in_source,2023-06-04,87434,"source digits are mis-grouped, figure unreliable: Total pilgrims who had darshan on 04.06.2023: 87,434",223940,2023-06-05 07:06:00,"Total pilgrims who had darshan on 04.06.2023: 87,4346",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-04-06-2023-874346/
malformed_number_in_source,2023-06-05,87434,"source digits are mis-grouped, figure unreliable: Total pilgrims who had darshan on 05.06.2023: 87,434",224034,2023-06-06 06:48:00,"Total pilgrims who had darshan on 05.06.2023: 87,4346",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-05-06-2023-874346/
no_count_extracted,,,no pilgrim figure found in title or body,35483,2016-10-02 18:03:28,BRAHMOTSAVAM- 2016 TO PROVIDE RICH DEVOTIONAL EXPERENCE TO DEVOTEES_ TTD CHAIRMAN DR CH KRISHNAMURTHY,https://news.tirumala.org/brahmotsavam-2016-to-provide-rich-devotional-experence-to-devotees_-ttd-chairman-dr-ch-krishnamurthy/
no_count_extracted,,,no pilgrim figure found in title or body,40503,2017-02-10 18:22:04,SKVST POSTERS RELEASED,https://news.tirumala.org/skvst-posters-released/
no_count_extracted,,,no pilgrim figure found in title or body,306275,2025-10-17 12:55:00,PAVITROTSAVAMS AT JUBILEE HILLS _ వైభ వంగా జూబ్లీహిల్స్ శ్రీ వేంక టేశ్వ ర స్వామివారి ఆల యంలో పవిత్రోత్సవాలు ప్రారంభం,https://news.tirumala.org/%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%9c%e0%b1%82%e0%b0%ac%e0%b1%8d%e0%b0%b2%e0%b1%80%e0%b0%b9%e0%b0%bf%e0%b0%b2%e0%b1%8d%e0%b0%b8%e0%b1%8d-%e0%b0%b6%e0%b1%8d-2/
no_count_extracted,,,no pilgrim figure found in title or body,324390,2026-05-12 19:21:23,HANUMAN JAYANTI CELEBRATIONS IN TIRUMALA _ తిరుమ ల లో ఘనంగా హ నుమ జ్జ యంతి వేడుక లు,https://news.tirumala.org/hanuman-jayanti-celebrations-in-tirumala-_-%e0%b0%a4%e0%b0%bf%e0%b0%b0%e0%b1%81%e0%b0%ae%e0%b0%b2%e0%b0%b2%e0%b1%8b-%e0%b0%98%e0%b0%a8%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%b9/
no_count_extracted,2020-06-19,,no pilgrim figure found in title or body,98558,2020-06-20 22:16:39,Pilgrims who had darshan on 19-06-2020 from 8:20am till 8:10pm:,https://news.tirumala.org/pilgrims-who-had-darshan-on-19-06-2020-from-820am-till-810pm/
no_count_extracted,2020-07-30,,no pilgrim figure found in title or body,100869,2020-07-30 22:00:23,"Total pilgrims who had darshan on 30.07.2020: 5,5,49",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-30-07-2020-5549/
title_body_date_mismatch,2014-05-01,53502,"title says 2014-05-02, body says 2014-05-01; used 2014-05-01 (month_day_year_inferred@body)",5358,2014-05-02 06:38:13,"About 53,502 pilgrims had Srivari Darshan on May 2",https://news.tirumala.org/about-53502-pilgrims-had-srivari-darshan-on-may-2/
