darshan_date,values_seen,values_agree,chosen_value,spread,n_posts,resolution,post_ids,chosen_post_id,chosen_link
2013-11-19,"46,204, 24,519",no,46204,21685,2,conflict_took_highest,"1825, 1828",1828,https://news.tirumala.org/sarva-darshan-free-darshan-5-compartments-2-hours-divya-darshan-footpath-darshan-3-compartments2-hours-special-entry-darshan-rs-300-darshan-after-8am/
2014-06-26,"60,197",yes,60197,0,2,duplicate_same_value,"6745, 6750",6750,https://news.tirumala.org/sarva-darshan-free-darshan-26-compartments-20-hours-divya-darshan-footpath-darshan-line-outside14-hours-special-entry-darshan-rs-300-darshan-direct/
2014-08-11,"71,359",yes,71359,0,2,duplicate_same_value,"8205, 8241",8241,https://news.tirumala.org/sarva-darshan-free-darshan-28-compartments12-hours-divya-darshan-footpath-darshan-6-compartments-4-hours-special-entry-darshan-rs-300-darshan-direct/
2015-05-21,"75,577, 73,689",no,75577,1888,2,conflict_took_highest,"16807, 16831",16807,https://news.tirumala.org/about-75577-pilgrims-had-srivari-darshan-on-may-21/
2015-11-21,"59,414",yes,59414,0,2,duplicate_same_value,"24169, 24173",24173,https://news.tirumala.org/sarva-darshan-free-darshan-7-compartments-3-hours-divya-darshan-footpath-darshan-2-compartment-2-hours-and-special-entry-darshan-rs-300-after-9am-for-advanced-booking-only/
2016-03-26,"89,744, 82,041",no,89744,7703,2,conflict_took_highest,"29073, 29103",29103,https://news.tirumala.org/sarva-darshan-free-darshan-8-compartments-3-hours-divya-darshan-footpath-darshan-2-compartments-2-hours-and-special-entry-darshan-rs-300-after-9am/
2016-05-19,"75,148, 73,285",no,75148,1863,2,conflict_took_highest,"31085, 31161",31161,https://news.tirumala.org/sarva-darshan-free-darshan-line-outside-12-hours-divya-darshan-footpath-darshan-8-compartments-5-hours-and-special-entry-darshan-rs-300-after-9am/
2017-08-07,"39,144",yes,39144,0,2,duplicate_same_value,"47241, 47279",47279,https://news.tirumala.org/about-39144-pilgrims-had-srivari-dharshan-on-aug-7/
2018-01-24,"79,136, 59,758",no,79136,19378,2,conflict_took_highest,"54786, 54784",54784,https://news.tirumala.org/about-79136-pilgrims-had-srivari-darshan-on-jan-24/
2018-01-31,"15,576, 13,776",no,15576,1800,2,conflict_took_highest,"55131, 55134",55134,https://news.tirumala.org/sarva-darshan-free-darshan-3-compartment-4-hours-special-entry-darshan-rs-300-darshan-after-8am/
2018-02-13,"66,993, 54,575",no,66993,12418,2,conflict_took_highest,"55980, 56003",55980,https://news.tirumala.org/about-66993-pilgrims-had-srivari-darshan-on-feb-13/
2018-08-16,"35,600, 14,000",no,35600,21600,2,conflict_took_highest,"62803, 62805",62805,https://news.tirumala.org/about-35600-pilgrims-had-darshan-on-aug-16/
2019-02-15,"65,987",yes,65987,0,2,duplicate_same_value,"67750, 67712",67712,https://news.tirumala.org/about-65987-pilgrims-had-darshan-on-feb-15/
2019-03-12,"63,269, 44,551",no,63269,18718,2,conflict_took_highest,"68303, 68305",68305,https://news.tirumala.org/about-63269-pilgrims-had-darshan-on-march-12/
2021-01-26,"49,346, 48,504",no,49346,842,2,conflict_took_highest,"119403, 119558",119403,https://news.tirumala.org/total-pilgrims-who-had-darshan-on-26-01-2021-49346/
2021-10-23,"28,278, 28,154",no,28278,124,2,conflict_took_highest,"152379, 152443",152443,https://news.tirumala.org/total-pilgrims-who-had-darshan-on-23-10-2021-28278/
