darshan_date,pilgrims,post_id,post_datetime,date_source,darshan_wait_hours,waiting_compartments,title,link
2013-10-04,23546,541,2013-10-04 20:01:03,month_day_year_inferred@body,,and waiting hours details- Sarva Darshan (Free darshan)-18 compartments/10 hours; Divya Da,Sarva Darshan (Free darshan)-18 compartments/10 hours; Divya Darshan (Footpath darshan)-6 compartments/3 hours,https://news.tirumala.org/sarva-darshan-free-darshan-18-compartments10-hours-divya-darshan-footpath-darshan-6-compartments3-hours/
2013-10-05,25146,589,2013-10-05 20:06:58,month_day_year_inferred@body,,and waiting hours details-Sarva Darshan (Free darshan)-22 compartments/10 hours; Divya Dar,Sarva Darshan (Free darshan)-22 compartments/10 hours; Divya Darshan (Footpath darshan)-10 compartments/5 hours,https://news.tirumala.org/arva-darshan-free-darshan-22-compartments10-hours-divya-darshan-footpath-darshan-10-compartments5-hours/
2013-10-06,34204,673,2013-10-06 18:05:30,month_day_year_inferred@body,,and waiting hours details-Sarva Darshan (Free darshan)-12 compartments/6 hours; Divya Dars,Sarva Darshan (Free darshan)-12 compartments/6 hours; Divya Darshan (Footpath darshan)-6 compartments/3 hours;,https://news.tirumala.org/sarva-darshan-free-darshan-12-compartments6-hours-divya-darshan-footpath-darshan-6-compartments3-hours/
2013-10-16,36234,1132,2013-10-16 18:25:48,month_day_year_inferred@body,,and waiting hours details-Sarva Darshan (Free darshan)-31 compartments/16 hours; Divya Dar,"Sarva Darshan (Free darshan)-31 compartments/16 hours; Divya Darshan (Footpath darshan)-13 compartments/5 hours, Rs. 300 Closed.",https://news.tirumala.org/sarva-darshan-free-darshan-31-compartments16-hours-divya-darshan-footpath-darshan-13-compartments5-hours-rs-300-closed-2/
2013-10-17,36756,1134,2013-10-17 22:59:43,month_day_year_inferred@body,,and waiting hours details-Sarva Darshan (Free darshan)-31 compartments/17 hours; Divya Dar,"Sarva Darshan (Free darshan)-31compartments/17 hours; Divya Darshan (Footpath darshan)-13 compartments/6 hours, Rs. 300 closed.",https://news.tirumala.org/sarva-darshan-free-darshan-31compartments17-hours-divya-darshan-footpath-darshan-13-compartments6-hours-rs-300-closed/
2013-10-18,36654,1144,2013-10-18 22:14:35,month_day_year_inferred@title,25,and waiting hours details-Sarva Darshan (Free darshan)-line out /25 hours; Divya Darshan (,"About 36,654 pilgrims had Srivari Darshan from 3am to 6pm on October 18th",https://news.tirumala.org/sarva-darshan-free-darshan-line-out25-hours-divya-darshan-footpath-darshan-line-out-8-hours-rs-300-closed/
2013-10-19,46542,1167,2013-10-19 18:20:28,month_day_year_inferred@title,22,and waiting hours details-Sarva Darshan (Free darshan)-line out/22 hours; Divya Darshan (F,"About 46,542 pilgrims had Srivari Darshan from 3am to 6pm on October 19th",https://news.tirumala.org/sarva-darshan-free-darshan-line-out22-hours-divya-darshan-footpath-darshan-line-out-8-hours-rs-300-closed/
2013-10-20,42234,1179,2013-10-20 19:04:38,month_day_year_inferred@title,16,and waiting hours details-Sarva Darshan (Free darshan)-line out/16 hours; Divya Darshan (F,"About 42,234 pilgrims had Srivari Darshan on October 20th from 3am to 6pm",https://news.tirumala.org/sarva-darshan-free-darshan-line-out16-hours-divya-darshan-footpath-darshan-8-compartments5-hours/
2013-10-21,39314,1204,2013-10-21 18:34:54,month_day_year_inferred@title,,and waiting hours details-Sarva Darshan (Free darshan)-12 compartments/6 hours; Divya Dars,"About 39,314 pilgrims had Srivari Darshan from 3am to 6pm on October 21.",https://news.tirumala.org/sarva-darshan-free-darshan-12-compartments6-hours-divya-darshan-footpath-darshan-3-compartments2-hours-special-entry-darshan-rs-300-darshan-direct-line/
2013-10-22,27894,1268,2013-10-22 18:28:34,month_day_year_inferred@title,,and waiting hours details-Sarva Darshan (Free darshan)- 12 compartments/6 hours; Divya Dar,"About 27,894 pilgrims had Srivari Darshan from 3am to 6pm on October 22.",https://news.tirumala.org/sarva-darshan-free-darshan-12-compartments6-hours-divya-darshan-footpath-darshan-3-compartments-2-hours-rs-300-direct/
