date,festival,kind,venue,tier,evidence,source_url
2013-01-01,New Year's Day,fixed_national_holiday,national,major,fixed calendar date,
2013-01-26,Republic Day,fixed_national_holiday,national,major,fixed calendar date,
2013-03-03,Brahmotsavams,same_day_report,other_temple,major,Sri Kapileswara Swamy Temple Brahmotsavam Begins _ ధ్వజారోహణంతో శ్రీ కపిలేశ్వరస్వామివారి బ్రహ్మోత్సవాలు ప్రారంభం,https://news.tirumala.org/sri-kapileswara-swamy-temple-brahmotsavam-begins-_-%e0%b0%a7%e0%b1%8d%e0%b0%b5%e0%b0%9c%e0%b0%be%e0%b0%b0%e0%b1%8b%e0%b0%b9%e0%b0%a3%e0%b0%82%e0%b0%a4%e0%b1%8b-%e0%b0%b6%e0%b1%8d%e0%b0%b0/
2013-03-09,Brahmotsavams,same_day_report,other_temple,major,SRI KALYANA VENKATESWARA SWAMY TEMPLE BRAHMOTSAVAM CONCLUDES WITH CHAKRASNANAM _ ￼వైభవంగా శ్రీ కల్యాణ వెంకన్న చక్రస్నానం,https://news.tirumala.org/sri-kalyana-venkateswara-swamy-temple-brahmotsavam-concludes-with-chakrasnanam-_-%ef%bf%bc%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80/
2013-03-19,Brahmotsavams,same_day_report,unspecified,major,SRI KRT BRAHMOTSAVAMS CONCLUDES WITH CHAKRASNANAM _ నేత్రపర్వంగా శ్రీ కోదండరాముడి చక్రస్నానం,https://news.tirumala.org/sri-krt-brahmotsavams-concludes-with-chakrasnanam-_-%e0%b0%a8%e0%b1%87%e0%b0%a4%e0%b1%8d%e0%b0%b0%e0%b0%aa%e0%b0%b0%e0%b1%8d%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%b6%e0%b1%8d%e0%b0%b0/
2013-03-22,Brahmotsavams,announced_dates,unspecified,major,BRAHMOTSAVAMS IN PEETHAPURAM FROM MARCH 22 TO 28 _ పిఠాపురం శ్రీ వేంకటేశ్వరస్వామివారి బ్రహ్మోత్సవాల పోస్టర్ల ఆవిష్కరణ,https://news.tirumala.org/brahmotsavams-in-peethapuram-from-march-22-to-28-_-%e0%b0%aa%e0%b0%bf%e0%b0%a0%e0%b0%be%e0%b0%aa%e0%b1%81%e0%b0%b0%e0%b0%82-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%b5%e0%b1%87%e0%b0%82/
2013-03-23,Brahmotsavams,announced_dates,unspecified,major,BRAHMOTSAVAMS IN PEETHAPURAM FROM MARCH 22 TO 28 _ పిఠాపురం శ్రీ వేంకటేశ్వరస్వామివారి బ్రహ్మోత్సవాల పోస్టర్ల ఆవిష్కరణ,https://news.tirumala.org/brahmotsavams-in-peethapuram-from-march-22-to-28-_-%e0%b0%aa%e0%b0%bf%e0%b0%a0%e0%b0%be%e0%b0%aa%e0%b1%81%e0%b0%b0%e0%b0%82-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%b5%e0%b1%87%e0%b0%82/
2013-03-23,Teppotsavam,same_day_report,tirumala,minor,FIVE DAY SRI VARI ANNUAL FLOAT FESTIVAL BEGINS,https://news.tirumala.org/five-day-sri-vari-annual-float-festival-begins-3/
2013-03-24,Brahmotsavams,announced_dates,unspecified,major,BRAHMOTSAVAMS IN PEETHAPURAM FROM MARCH 22 TO 28 _ పిఠాపురం శ్రీ వేంకటేశ్వరస్వామివారి బ్రహ్మోత్సవాల పోస్టర్ల ఆవిష్కరణ,https://news.tirumala.org/brahmotsavams-in-peethapuram-from-march-22-to-28-_-%e0%b0%aa%e0%b0%bf%e0%b0%a0%e0%b0%be%e0%b0%aa%e0%b1%81%e0%b0%b0%e0%b0%82-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%b5%e0%b1%87%e0%b0%82/
2013-03-25,Brahmotsavams,announced_dates,unspecified,major,BRAHMOTSAVAMS IN PEETHAPURAM FROM MARCH 22 TO 28 _ పిఠాపురం శ్రీ వేంకటేశ్వరస్వామివారి బ్రహ్మోత్సవాల పోస్టర్ల ఆవిష్కరణ,https://news.tirumala.org/brahmotsavams-in-peethapuram-from-march-22-to-28-_-%e0%b0%aa%e0%b0%bf%e0%b0%a0%e0%b0%be%e0%b0%aa%e0%b1%81%e0%b0%b0%e0%b0%82-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%b5%e0%b1%87%e0%b0%82/
